id,profileName,text,date,title,rating,images,helpful
R25PU08ODFINAY,howdoesitwork,"
  Do not buy this! I recently read that Amazon sells pirated books (because they don't check they take the money no matter what they sell) which means, not only are the prints not authorized which is a legal issue, but for the consumer experience, it's detrimental as well. This box set is printed on such coarse paper (paper feels like industrial pulp), the ink becomes blurred and hard to read. Worse yet, I gave them to my daughter (who is too young to know about print quality and thus never complained), and she had to squint through volumes of this crappy print that totally ruined her eyesight, before I realized what was going on. Amazon you need to do better than this!
","Reviewed in the United States on July 1, 2019",Are these pirated versions? Defective printing and awful paper,1,,334
R17DWTJ0CTEKEI,Kindle Customer,"
  Beautiful covers and tough packaging. Bought these for my neices and nephews. I can read them but they are having trouble because the print on the pages. Several are blurry like this and book 1 (currently in my neices possession) has several pages with light spots down the middle and you can barely make out the words. They keep bringing the books to us for help. Haven't been into the other 4 books yet. I imagine they will be similar.
","Reviewed in the United States on April 2, 2019",Print errors causing some difficult for kids,2,"https://images-na.ssl-images-amazon.com/images/I/718D5ApESgL.jpg
https://images-na.ssl-images-amazon.com/images/I/71ey-sB3euL.jpg
https://images-na.ssl-images-amazon.com/images/I/81cq6wJao3L.jpg
https://images-na.ssl-images-amazon.com/images/I/81mmT7ODSmL.jpg",200
R39QAOU8TUS181,Amazon Customer,"
  Pages missing from page 28 to 77!
","Reviewed in the United States on July 20, 2018",Defective printing,1,,246
R2Y0UJB11IEQXF,K.L.,"
  Great price, but it is all 7 books combined into one volume and one table of contents; which makes navigating to different books and chapters a bit more difficult than if they were 7 distinct books.
","Reviewed in the United States on June 6, 2018","Great price, but it is all 7 books combined ...",3,,319
R2924I8GMI6ZA,Tim,"
  Books are printed incorrectly I'm missing about half of one of the books. Pathetic
","Reviewed in the United States on March 2, 2019",Do not buy!,1,,152
R1CA4UAMBIK4F5,Janice,"
  The books are fantastic BUT in this combo pack: pages are missing, chapters are missing and since there are all 7 books together it would be nice to have a table of contents so it you wanted to read ""The Order of the Phoenix"" you could easily find it.  VERY disappointed in this combination, it is nicer having the separate books.
","Reviewed in the United States on November 25, 2018",Love the books BUT!,1,,126
RIH6BSLPV7BQA,NeiKeA,"
  Thought I was getting the illustrated version so I was disappointed... until I started reading. I'm enthralled in the series all over again, and to be honest, illustrations would probably take away from the vivid images I already have in my mind plus those books are bigger and harder to read with small hands. These books are spectacular- I won't review content because everyone knows they're amazing! I love FINALLY having my own set. I'm a 29 yr old lady who originally read these as they were published, varying sizes bought, and split up between sisters. This is one box set that's all MINE!
","Reviewed in the United States on December 5, 2018",Not the illustrated version,5,https://images-na.ssl-images-amazon.com/images/I/71CMeB9KCkL.jpg,103
R1CJW6QWYBSYPN,BearsBeetsBattlestarGalactica,"
  I LOVE the book series. I have the original copies (second US editions). But most of the books are battered and worn out because I bought them back in 04. I wanted a new set (partly for collection purposes) so I did some digging. This new version looked pretty and the graphics looked interesting as well.I really really wanted to love this new set. I did. But I couldn??t get past the font. The inside of the book is really hard to read as the text isn??t the usual version (like in the second US editions).Also, I??m a bit of a grammar nut. I cannot stand when a book uses the single apostrophe ( ?? ) instead of double quotation marks ( ?? ) for when someone is speaking. It makes it terribly difficult to read the book and follow the story. Eventually you could get used to it, I suppose. But for $130 I don??t want to have to get a headache every time I try to read these beloved books.I??m really hoping the new box set I ordered in lieu of these is better formatted.
","Reviewed in the United States on June 15, 2019",LOVE the series.. not the new text/formatted books.,1,,46
R69DU9916WGXO,Michelle F.,"
  This review is for the physical quality of the books. I ordered the set on June 21 and am currently ready the third book. I have not been reading often but when I opened the book today I noticed that the pages were separating from the cover on the top part of the book (the bottom is fine 3rd pic). It looks like the glue is coming undone.
","Reviewed in the United States on July 29, 2019",Physical quality of books,2,"https://images-na.ssl-images-amazon.com/images/I/711xqmYCXpL.jpg
https://images-na.ssl-images-amazon.com/images/I/71u1PydIyTL.jpg
https://images-na.ssl-images-amazon.com/images/I/71whA1rAssL.jpg",31
R2PEY0J4NB4U12,Lenore Castillo,"
  I love this book set! I was looking everywhere for the UK version of the Harry Potter series, but I couldn??t find it at any book stores in the U.S. so, I was really thankful to find this set! It was packaged so nicely, wrapped in bubble wrap and the book set itself wrapped neatly in plastic. The illustrations are so beautiful! If you are wanting the UK version of the Harry Potter series, I would definitely encourage you to buy this series! It??s the same price as what you would be paying for each book individually in UK so, you??re not technically getting a deal, but it??s totally worth it if you??re wanting to read the whole series! I like the UK version better than the US version of the Harry Potter series, so I absolutely love this set!
","Reviewed in the United States on September 1, 2019",Love this UK Version Book Set!,5,,22
